Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
2023-11-07 06:45:26 HJ-1B                 21.6 15.0  ecl  1900 142.2  44.7
2023-11-07 06:48:58 HJ-1B                100.8 62.5  ecl  1900 142.2  44.7
2023-11-07 06:52:33 HJ-1B                179.9 15.0  ecl  1900 142.2  44.7

2023-11-07 06:51:54 LT-1 O1A             326.2 15.0  ecl  1900 142.2  44.7
2023-11-07 06:54:08 LT-1 O1A             286.0 22.3  ecl  1900 142.2  44.7
2023-11-07 06:56:22 LT-1 O1A             245.8 15.0  ecl  1900 142.2  44.7

2023-11-07 06:53:07 SHIYAN 20A (SY-20A)  172.1 15.0  ecl  1900 142.2  44.7
2023-11-07 06:56:59 SHIYAN 20A (SY-20A)  115.4 33.1  ecl  1900 142.2  44.7
2023-11-07 07:00:51 SHIYAN 20A (SY-20A)   58.8 15.0  ecl  1900 142.2  44.7

2023-11-07 07:02:25 YAOGAN-30 V          280.5 15.0  ecl  1900 142.2  44.7
2023-11-07 07:05:27 YAOGAN-30 V          337.3 31.5  ecl  1900 142.2  44.7
2023-11-07 07:08:29 YAOGAN-30 V           34.1 15.0  ecl  1900 142.2  44.7

2023-11-07 07:24:04 YAOGAN-35 B          156.0 15.0  ecl  1900 142.2  44.7
2023-11-07 07:24:46 YAOGAN-35 B          142.8 15.6  ecl  1900 142.2  44.7
2023-11-07 07:25:28 YAOGAN-35 B          129.6 15.0  ecl  1900 142.2  44.7

2023-11-07 07:27:46 YAOGAN-37            294.3 15.0  ecl  1900 142.2  44.7
2023-11-07 07:30:50 YAOGAN-37            223.3 47.7  ecl  1900 142.2  44.7
2023-11-07 07:33:54 YAOGAN-37            152.3 15.0  ecl  1900 142.2  44.7

2023-11-07 07:28:36 YAOGAN-36 01B        232.9 15.0  ecl  1900 142.2  44.7
2023-11-07 07:31:29 YAOGAN-36 01B        148.6 74.8  ecl  1900 142.2  44.7
2023-11-07 07:34:22 YAOGAN-36 01B         64.4 15.0  ecl  1900 142.2  44.7

2023-11-07 07:57:53 YAOGAN-36 01C        212.0 15.0  ecl  1900 142.2  44.7
2023-11-07 08:00:41 YAOGAN-36 01C        146.1 40.2  ecl  1900 142.2  44.7
2023-11-07 08:03:30 YAOGAN-36 01C         80.3 15.0  ecl  1900 142.2  44.7

2023-11-07 08:13:27 YUNHAI 1-02          307.0 15.0  ecl  1900 142.2  44.7
2023-11-07 08:14:46 YUNHAI 1-02          289.1 16.4  ecl  1900 142.2  44.7
2023-11-07 08:16:05 YUNHAI 1-02          271.1 15.0  ecl  1900 142.2  44.7

2023-11-07 08:38:02 SHIYAN 20A (SY-20A)  261.5 15.0  ecl  1900 142.2  44.7
2023-11-07 08:41:14 SHIYAN 20A (SY-20A)  305.5 24.3  ecl  1900 142.2  44.7
2023-11-07 08:44:27 SHIYAN 20A (SY-20A)  349.6 15.0  ecl  1900 142.2  44.7

2023-11-07 08:57:28 YAOGAN-30 K          207.4 15.0  ecl  1900 142.2  44.7
2023-11-07 09:00:40 YAOGAN-30 K          145.1 37.0  ecl  1900 142.2  44.7
2023-11-07 09:03:52 YAOGAN-30 K           83.0 15.0  ecl  1900 142.2  44.7

2023-11-07 09:01:09 YAOGAN-35 B          248.3 15.0  ecl  1900 142.2  44.7
2023-11-07 09:04:12 YAOGAN-35 B          330.8 69.3  ecl  1900 142.2  44.7
2023-11-07 09:07:16 YAOGAN-35 B           53.4 15.0  ecl  1900 142.2  44.7

2023-11-07 09:01:12 YAOGAN-30 H          212.2 15.0  ecl  1900 142.2  44.7
