Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
2023-11-07 17:28:13 YAOGAN-39 03B        254.8 15.0  ecl  1900 142.2  44.7
2023-11-07 17:30:09 YAOGAN-39 03B        216.3 21.2  ecl  1900 142.2  44.7
2023-11-07 17:32:04 YAOGAN-39 03B        177.9 15.0  ecl  1900 142.2  44.7

2023-11-07 17:28:25 YAOGAN-39 03A        254.5 15.0  ecl  1900 142.2  44.7
2023-11-07 17:30:19 YAOGAN-39 03A        216.3 21.1  ecl  1900 142.2  44.7
2023-11-07 17:32:13 YAOGAN-39 03A        178.2 15.0  ecl  1900 142.2  44.7

2023-11-07 17:30:06 HEAD-3E              180.2 15.0  ecl  1900 142.2  44.7
2023-11-07 17:33:10 HEAD-3E              131.8 26.6  ecl  1900 142.2  44.7
2023-11-07 17:36:14 HEAD-3E               83.4 15.0  ecl  1900 142.2  44.7

2023-11-07 17:31:24 HEAD-3C              178.7 15.0  ecl  1900 142.2  44.7
2023-11-07 17:34:25 HEAD-3C              131.7 25.8  ecl  1900 142.2  44.7
2023-11-07 17:37:26 HEAD-3C               84.7 15.0  ecl  1900 142.2  44.7

2023-11-07 17:36:28 HEAD-3A              180.7 15.0  ecl  1900 142.2  44.7
2023-11-07 17:39:35 HEAD-3A              131.8 26.9  ecl  1900 142.2  44.7
2023-11-07 17:42:42 HEAD-3A               83.0 15.0  ecl  1900 142.2  44.7

2023-11-07 17:38:17 SHIYAN 20A (SY-20A)  335.8 15.0  ecl  1900 142.2  44.7
2023-11-07 17:42:47 SHIYAN 20A (SY-20A)   60.1 74.5  ecl  1900 142.2  44.7
2023-11-07 17:47:16 SHIYAN 20A (SY-20A)  144.3 15.0  ecl  1900 142.2  44.7

2023-11-07 18:17:41 YAOGAN-40 01A        157.6 15.0  ecl  1900 142.2  44.7
2023-11-07 18:22:05 YAOGAN-40 01A         88.2 47.6  ecl  1900 142.2  44.7
2023-11-07 18:26:29 YAOGAN-40 01A         19.0 15.0  ecl  1900 142.2  44.7

